wavelength (nm),0,50,100,150,200,250,300,350,400,450,500,550,600,650,700
341,1.303697,1.310408,1.306435,1.313551,1.312918,1.31898,1.324621,1.322426,1.321173,1.327085,1.329103,1.326971,1.329251,1.333681,1.334181
342,1.301952,1.300322,1.306522,1.306734,1.312959,1.316726,1.319423,1.321538,1.321478,1.319742,1.317856,1.326229,1.321891,1.328743,1.330219
343,1.302419,1.305882,1.307567,1.313253,1.311689,1.313687,1.317648,1.312447,1.32045,1.323463,1.324923,1.327129,1.327058,1.324272,1.331752
344,1.296782,1.298456,1.300149,1.305608,1.304204,1.314476,1.309834,1.314123,1.311043,1.316101,1.31964,1.319334,1.322478,1.323687,1.32418
345,1.300441,1.297498,1.304823,1.302719,1.307458,1.30503,1.313459,1.313029,1.317092,1.313347,1.322537,1.32499,1.321548,1.319595,1.324937
346,1.292205,1.296968,1.297756,1.299129,1.306065,1.301474,1.308504,1.30808,1.314189,1.310125,1.316931,1.313788,1.319025,1.320089,1.321428
347,1.289759,1.296314,1.296143,1.299904,1.303791,1.304403,1.305809,1.310641,1.313011,1.315541,1.311418,1.310646,1.31453,1.315488,1.317103
348,1.286327,1.289787,1.28927,1.290277,1.295011,1.298148,1.30016,1.300761,1.30482,1.306929,1.310348,1.306978,1.308254,1.312321,1.314456
349,1.2844,1.28366,1.287686,1.286515,1.293376,1.293421,1.29406,1.298399,1.30121,1.3079,1.303861,1.306196,1.304917,1.307033,1.311193
350,1.276152,1.283419,1.286399,1.287935,1.295031,1.297033,1.294781,1.298059,1.30526,1.30298,1.30284,1.305989,1.30752,1.307746,1.310869
351,1.277034,1.279899,1.277961,1.282488,1.288071,1.294875,1.291291,1.290228,1.288355,1.299242,1.301669,1.297349,1.295501,1.303943,1.300891
352,1.277815,1.270359,1.277936,1.279026,1.285963,1.284054,1.284519,1.287819,1.291836,1.295739,1.294833,1.29331,1.293557,1.299154,1.297292
